Dag,Picker(s),Inpakker(s),Controle,Outbound,Transport,VAS-taken,Afwezigheden & opmerkingen
Maandag,,,,,,,
Dinsdag,,,,,,,
Woensdag,,,,,,,
Donderdag,,,,,,,
Vrijdag,,,,,,,
